acousticness,danceability,energy,instrumentalness,liveness,loudness,speechiness,tempo,valence,decade
0.975,0.14,0.0777,0.897,0.104,0.6651,0.0351,0.2875,0.101,1930
0.911,0.394,0.0784,0.654,0.114,0.6218,0.0369,0.5255,0.364,1930
0.979,0.458,0.75,0.516,0.256,0.8062,0.206,0.2893,0.296,1930
0.836,0.313,0.183,0.48,0.0856,0.7341,0.0421,0.5872,0.235,1930
0.76,0.35,0.229,0.74,0.0968,0.6537,0.0384,0.5774,0.338,1930
0.646,0.289,0.326,0.919,0.0837,0.706,0.0375,0.3066,0.349,1930
0.986,0.544,0.0949,0.0039,0.612,0.7112,0.17,0.4017,0.326,1930
0.966,0.139,0.0934,0.931,0.0999,0.663,0.0418,0.2594,0.127,1930
0.991,0.295,0.396,0.162,0.0892,0.8327,0.0398,0.5324,0.259,1930
0.958,0.329,0.407,0.849,0.0761,0.7022,0.0541,0.556,0.382,1930
0.796,0.318,0.136,0.467,0.0939,0.6604,0.0351,0.3791,0.185,1930
0.991,0.264,0.409,0.249,0.317,0.7782,0.0392,0.5352,0.13,1930
0.929,0.394,0.431,0.914,0.33,0.7655,0.0382,0.5599,0.486,1930
0.958,0.298,0.131,0.749,0.12,0.7212,0.0424,0.6068,0.218,1930
0.993,0.555,0.524,0.0435,0.557,0.7966,0.119,0.3245,0.537,1930
0.948,0.304,0.16,0.588,0.0707,0.7101,0.0403,0.3163,0.138,1930
0.992,0.217,0.35,0.139,0.237,0.7816,0.0429,0.3723,0.234,1930
0.974,0.368,0.882,0.881,0.244,0.8116,0.0745,0.5241,0.254,1930
0.977,0.209,0.133,0.743,0.127,0.6892,0.0378,0.2805,0.0712,1930
0.907,0.319,0.184,0.437,0.337,0.7213,0.0433,0.5654,0.189,1930
0.904,0.489,0.0495,0.0602,0.0666,0.5739,0.0404,0.701,0.457,1930
0.828,0.45,0.291,0.51,0.139,0.7292,0.0922,0.3205,0.484,1930
0.863,0.326,0.163,0.801,0.0539,0.6293,0.101,0.6378,0.127,1930
0.941,0.112,0.0289,0.498,0.067,0.5811,0.0383,0.3414,0.0705,1930
0.959,0.325,0.164,0.613,0.497,0.6728,0.0467,0.3473,0.284,1930
0.903,0.309,0.0875,0.84,0.404,0.6101,0.0393,0.5503,0.216,1930
0.829,0.367,0.223,0.881,0.141,0.7455,0.04,0.4718,0.321,1930
0.948,0.427,0.119,0.0805,0.131,0.6177,0.0468,0.573,0.51,1930
0.963,0.335,0.359,0.873,0.173,0.6758,0.0481,0.3464,0.398,1930
0.927,0.345,0.0865,0.651,0.117,0.6642,0.0369,0.4808,0.237,1930
0.956,0.363,0.122,0.327,0.206,0.68,0.0591,0.6323,0.428,1930
0.874,0.247,0.05,0.749,0.0696,0.6166,0.0377,0.5434,0.044,1930
0.994,0.407,0.789,0.707,0.917,0.8011,0.498,0.4669,0.774,1930
0.989,0.352,0.465,0.0621,0.825,0.7915,0.0597,0.4873,0.339,1930
0.0044,0.253,0.956,0.0,0.11,0.8509,0.128,0.702,0.78,1980
0.18,0.64,0.282,0.002,0.0422,0.7183,0.0294,0.3385,0.635,1980
0.483,0.664,0.286,0.0,0.218,0.7062,0.0292,0.415,0.96,1980
0.0019,0.502,0.857,0.0002,0.109,0.829,0.0304,0.6843,0.636,1980
0.132,0.819,0.637,0.571,0.182,0.8055,0.0465,0.5059,0.978,1980
0.02,0.546,0.811,0.0001,0.0759,0.8251,0.0551,0.5901,0.641,1980
0.0323,0.606,0.636,0.0297,0.2,0.8089,0.0261,0.4899,0.513,1980
0.0094,0.267,0.955,0.0231,0.306,0.861,0.1,0.8138,0.74,1980
0.0478,0.735,0.494,0.0217,0.161,0.8468,0.039,0.3996,0.467,1980
0.0121,0.839,0.569,0.0,0.0391,0.8062,0.0283,0.4029,0.955,1980
0.0659,0.719,0.61,0.292,0.149,0.6987,0.0437,0.5724,0.537,1980
0.0054,0.476,0.667,0.654,0.0491,0.7648,0.0589,0.5332,0.24,1980
0.149,0.648,0.72,0.0,0.105,0.8018,0.0402,0.5589,0.672,1980
0.126,0.686,0.701,0.0003,0.625,0.8341,0.0294,0.4003,0.542,1980
0.0307,0.406,0.548,0.0,0.19,0.6832,0.0486,0.6123,0.859,1980
0.429,0.325,0.552,0.0207,0.758,0.6936,0.0657,0.4089,0.343,1980
0.799,0.709,0.313,0.0,0.257,0.7215,0.132,0.3983,0.648,1980
0.626,0.698,0.245,0.0,0.139,0.6997,0.0378,0.444,0.782,1980
0.596,0.528,0.377,0.0,0.0671,0.7398,0.0272,0.3291,0.245,1980
0.0003,0.459,0.883,0.0004,0.74,0.8318,0.0359,0.5872,0.705,1980
0.614,0.642,0.308,0.0041,0.128,0.6867,0.0289,0.4825,0.321,1980
0.0034,0.48,0.732,0.181,0.0867,0.7859,0.0415,0.4237,0.562,1980
0.102,0.679,0.841,0.0246,0.413,0.8072,0.0507,0.4695,0.96,1980
0.784,0.67,0.713,0.401,0.334,0.7828,0.0494,0.4563,0.517,1980
